企業・団体名,合計,文科系 男子,文科系 女子,理工系,
株式会社ＮＳソリューションズ関西,3,1,,2,
エン・ジャパン株式会社,3,2,1,,
ＳＧホールディングス株式会社,3,1,2,,
ＮＴＴコムソリューションズ株式会社,3,,,3,
株式会社エヌ・ティ・ティ・ビジネスアソシエ西日本,3,,3,,
株式会社ＳＭＢＣ信託銀行,3,,3,,
株式会社大垣共立銀行,3,2,1,,
岡三証券株式会社,3,3,,,
株式会社オービック,3,2,1,,
大阪瓦斯株式会社,3,,1,2,
株式会社カネカ,3,1,2,,
兼松株式会社,3,3,,,
株式会社システナ,3,,1,2,
香川県,3,1,2,,
キッセイ薬品工業株式会社,3,3,,,
近鉄グループホールディングス株式会社,3,2,1,,
キヤノンＩＴソリューションズ株式会社,3,2,,1,
京田辺市,3,1,2,,
近畿日本鉄道株式会社,3,2,,1,
クリナップ株式会社,3,,3,,
株式会社クマヒラ,3,1,2,,
株式会社クイック,3,2,1,,
クラブツーリズム株式会社,3,1,2,,
株式会社クリーク・アンド・リバー社,3,2,1,,
京阪ホールディングス株式会社,3,2,1,,
国分株式会社,3,3,,,
株式会社小糸製作所,3,2,,1,
高知県,3,2,1,,
外務省専門職員,3,2,1,,
グンゼ株式会社,3,1,1,1,
三和シヤッター工業株式会社,3,2,,1,
サッポロビール株式会社,3,1,2,,
ＳＧシステム株式会社,3,,3,,
株式会社七十七銀行,3,2,1,,
株式会社シマノ,3,,,3,
株式会社シーウィングス,3,2,1,,
住友ゴム工業株式会社,3,,2,1,
鈴与株式会社,3,2,1,,
住友電工情報システム株式会社,3,,,3,
セコム株式会社,3,2,1,,
セイコーエプソン株式会社,3,1,1,1,
株式会社セブン－イレブン・ジャパン,3,2,1,,
株式会社セントラル情報サービス,3,3,,,
セキスイハイム近畿株式会社,3,3,,,
株式会社セプテーニ・ホールディングス,3,1,,2,
ソニーグローバルマニュファクチャリング＆オペレーションズ株式会社,3,1,1,1,
ソニー損害保険株式会社,3,1,2,,
株式会社ジェイティービー,3,2,1,,
ＪＡ三井リース株式会社,3,2,1,,
株式会社大丸松坂屋百貨店,3,1,2,,
株式会社ジェーシービー,3,,3,,
株式会社ＪＡＬスカイ大阪,3,,3,,
株式会社ジェイテクト,3,1,1,1,
ＪＦＥ商事鉄鋼建材株式会社,3,1,2,,
株式会社ジェイエア,3,,3,,
株式会社ＪＴＢ関西,3,,3,,
株式会社ＪＳＯＬ,3,3,,,
株式会社ジーニー,3,2,1,,
全国農業協同組合連合会,3,2,1,,
タカラスタンダード株式会社,3,2,1,,
タイガー魔法瓶株式会社,3,1,1,1,
タキイ種苗株式会社,3,2,1,,
高見株式会社,3,,3,,
タマホーム株式会社,3,1,2,,
株式会社中国銀行,3,,2,1,
株式会社椿本チエイン,3,1,,2,
株式会社天満屋,3,1,1,1,
パーソルテンプスタッフ株式会社,3,2,1,,
東レ株式会社,3,1,1,1,
独立行政法人都市再生機構,3,2,1,,
トラスコ中山株式会社,3,3,,,
デロイトトーマツコンサルティング合同会社,3,2,1,,
キヤノンメディカルシステムズ株式会社,3,2,,1,
株式会社トラスト・テック,3,,,3,
第一法規株式会社,3,,3,,
大王製紙株式会社,3,,2,1,
